,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Playing Time,Playing Time,Playing Time,Playing Time,Progression,Progression,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,season
,npxG,npxG+xAG,xAG,xG,Ast,G+A,G+A-PK,G-PK,Gls,npxG,npxG+xAG,xAG,xG,xG+xAG,Ast,CrdR,CrdY,G+A,G-PK,Gls,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,Squad,# Pl,Age,Poss,
74,29.5,54.4,24.9,32.6,0.34,0.84,0.76,0.42,0.5,0.78,1.43,0.66,0.86,1.52,13,3.0,73.0,32,16,19,3,4,38.0,38,3420,418,491.0,1196.0,Sheffield Utd,27,26.7,41.7,2020-2021
75,36.6,62.5,25.8,41.2,0.87,2.11,1.97,1.11,1.24,0.96,1.64,0.68,1.09,1.77,33,3.0,52.0,80,42,47,5,6,38.0,38,3420,418,626.0,1195.0,Southampton,29,26.6,52.0,2020-2021
76,49.2,84.4,35.3,53.1,1.32,3.05,2.92,1.61,1.74,1.29,2.22,0.93,1.4,2.33,50,2.0,57.0,116,61,66,5,5,38.0,38,3420,418,633.0,1330.0,Tottenham,24,27.2,51.6,2020-2021
77,32.7,57.1,24.4,35.8,0.53,1.39,1.29,0.76,0.87,0.86,1.5,0.64,0.94,1.59,20,4.0,51.0,53,29,33,4,4,38.0,38,3420,418,441.0,1027.0,West Brom,30,26.4,37.9,2020-2021
78,52.1,91.7,39.6,55.4,1.21,2.79,2.74,1.53,1.58,1.37,2.41,1.04,1.46,2.5,46,3.0,50.0,106,58,60,2,4,38.0,38,3420,418,658.0,1282.0,West Ham,24,27.8,43.2,2020-2021
79,33.4,57.6,24.1,36.5,0.55,1.45,1.34,0.79,0.89,0.88,1.51,0.63,0.96,1.6,21,1.0,55.0,55,30,34,4,4,38.0,38,3420,418,800.0,1283.0,Wolves,27,26.3,49.3,2020-2021
80,44.6,76.1,31.4,47.0,0.92,2.39,2.32,1.39,1.47,1.17,2.0,0.83,1.24,2.06,35,5.0,88.0,91,53,56,3,3,38.0,38,3420,418,815.0,1641.0,Arsenal,29,25.8,53.8,2019-2020
81,41.8,76.0,34.2,44.3,0.84,1.89,1.87,1.03,1.05,1.1,2.0,0.9,1.16,2.06,32,1.0,70.0,72,39,40,1,3,38.0,38,3420,418,639.0,1247.0,Aston Villa,28,25.7,44.1,2019-2020
82,41.7,72.3,30.6,44.8,0.63,1.63,1.53,0.89,1.0,1.1,1.9,0.8,1.18,1.98,24,3.0,78.0,62,34,38,4,4,38.0,38,3420,418,601.0,1256.0,Bournemouth,27,25.2,44.1,2019-2020
83,43.8,75.4,31.6,45.4,0.63,1.55,1.53,0.89,0.92,1.15,1.99,0.83,1.2,2.03,24,2.0,59.0,59,34,35,1,2,38.0,38,3420,418,669.0,1675.0,Brighton,25,26.4,52.2,2019-2020
84,45.3,77.7,32.4,47.4,0.79,1.87,1.79,1.0,1.08,1.19,2.04,0.85,1.25,2.1,30,0.0,67.0,71,38,41,3,3,38.0,38,3420,418,437.0,890.0,Burnley,22,28.0,41.9,2019-2020
85,64.4,111.1,46.7,69.2,1.21,3.03,2.84,1.63,1.82,1.7,2.92,1.23,1.82,3.05,46,0.0,60.0,115,62,69,7,7,38.0,38,3420,418,983.0,1897.0,Chelsea,27,25.5,60.4,2019-2020
86,33.6,59.5,26.0,35.8,0.53,1.29,1.21,0.68,0.76,0.88,1.57,0.68,0.94,1.63,20,2.0,62.0,49,26,29,3,3,38.0,38,3420,418,596.0,1223.0,Crystal Palace,25,29.4,44.8,2019-2020
87,50.0,88.1,38.1,50.8,0.84,1.95,1.92,1.08,1.11,1.32,2.32,1.0,1.34,2.34,32,3.0,76.0,74,41,42,1,1,38.0,38,3420,418,623.0,1430.0,Everton,24,25.5,49.0,2019-2020
88,56.7,101.6,44.9,62.2,1.26,2.97,2.84,1.58,1.71,1.49,2.67,1.18,1.64,2.82,48,3.0,43.0,113,60,65,5,7,38.0,38,3420,418,739.0,1612.0,Leicester City,24,26.1,57.1,2019-2020
89,65.0,118.0,53.0,68.9,1.82,4.0,3.87,2.05,2.18,1.71,3.1,1.39,1.81,3.21,69,1.0,38.0,152,78,83,5,5,38.0,38,3420,418,967.0,1941.0,Liverpool,24,26.6,62.9,2019-2020
90,83.6,152.0,68.4,92.0,1.82,4.45,4.29,2.47,2.63,2.2,4.0,1.8,2.42,4.22,69,4.0,64.0,169,94,100,6,11,38.0,38,3420,418,1199.0,2460.0,Manchester City,24,26.9,66.2,2019-2020
91,51.2,89.7,38.5,62.2,1.13,2.84,2.58,1.45,1.71,1.35,2.36,1.01,1.64,2.65,43,0.0,73.0,108,55,65,10,14,38.0,38,3420,418,926.0,1788.0,Manchester Utd,29,24.8,55.8,2019-2020
92,34.8,61.7,26.9,35.5,0.76,1.76,1.76,1.0,1.0,0.91,1.62,0.71,0.94,1.64,29,3.0,66.0,67,38,38,0,1,38.0,38,3420,418,537.0,844.0,Newcastle Utd,28,26.5,39.0,2019-2020
93,35.4,62.8,27.4,37.0,0.47,1.13,1.08,0.61,0.66,0.93,1.65,0.72,0.97,1.69,18,3.0,68.0,43,23,25,2,2,38.0,38,3420,418,673.0,1169.0,Norwich City,30,26.0,49.3,2019-2020
94,42.2,76.3,34.0,43.0,0.66,1.61,1.58,0.92,0.95,1.11,2.01,0.9,1.13,2.03,25,2.0,63.0,61,35,36,1,1,38.0,38,3420,418,493.0,1352.0,Sheffield Utd,26,26.9,43.1,2019-2020
95,52.1,88.5,36.4,56.1,0.84,2.18,2.13,1.29,1.34,1.37,2.33,0.96,1.48,2.43,32,4.0,55.0,83,49,51,2,5,38.0,38,3420,418,628.0,1335.0,Southampton,25,25.9,48.9,2019-2020
96,44.7,77.3,32.6,47.9,1.03,2.5,2.42,1.39,1.47,1.18,2.03,0.86,1.26,2.12,39,3.0,84.0,95,53,56,3,4,38.0,38,3420,418,768.0,1410.0,Tottenham,29,26.7,52.0,2019-2020
